driver_id,date,online_hours,gender,age,number_of_kids,day,dayofweek,holiday,prev_holiday,next_holiday,age2,age3,c1,c2,c3,gender_kids,age_kids,prev_1,prev_2,prev_3,prev_4,prev_5,prev_6,prev_7,prev_8,prev_9,prev_10,prev_11,prev_12,prev_13,prev_14
111556,2017-06-15,1.0333333333333334,0,49,4,15,3,0,0,0,1.0,4,0,0,0,4,9,1.9833333333333332,4.383333333333334,3.733333333333333,0.0,0.0,4.433333333333334,3.1791666666666667,2.629166666666667,3.1166666666666667,4.666666666666667,0.0,0.0,2.5,2.216666666666667
111556,2017-06-16,0.0,0,49,4,16,4,0,1,0,1.0,4,0,0,0,4,9,1.0333333333333334,1.9833333333333332,4.383333333333334,3.733333333333333,0.0,0.0,4.433333333333334,3.1791666666666667,2.629166666666667,3.1166666666666667,4.666666666666667,0.0,0.0,2.5
111556,2017-06-17,0.0,0,49,4,17,5,1,1,0,1.0,4,0,0,0,4,9,0.0,1.0333333333333334,1.9833333333333332,4.383333333333334,3.733333333333333,0.0,0.0,4.433333333333334,3.1791666666666667,2.629166666666667,3.1166666666666667,4.666666666666667,0.0,0.0
111556,2017-06-18,0.0,0,49,4,18,6,1,0,1,1.0,4,0,0,0,4,9,0.0,0.0,1.0333333333333334,1.9833333333333332,4.383333333333334,3.733333333333333,0.0,0.0,4.433333333333334,3.1791666666666667,2.629166666666667,3.1166666666666667,4.666666666666667,0.0
111556,2017-06-19,0.5333333333333333,0,49,4,19,0,0,0,1,1.0,4,0,0,0,4,9,0.0,0.0,0.0,1.0333333333333334,1.9833333333333332,4.383333333333334,3.733333333333333,0.0,0.0,4.433333333333334,3.1791666666666667,2.629166666666667,3.1166666666666667,4.666666666666667
111556,2017-06-20,2.183333333333333,0,49,4,20,1,0,0,0,1.0,4,0,0,0,4,9,0.5333333333333333,0.0,0.0,0.0,1.0333333333333334,1.9833333333333332,4.383333333333334,3.733333333333333,0.0,0.0,4.433333333333334,3.1791666666666667,2.629166666666667,3.1166666666666667
111556,2017-06-21,3.1,0,49,4,21,2,0,0,0,1.0,4,0,0,0,4,9,2.183333333333333,0.5333333333333333,0.0,0.0,0.0,1.0333333333333334,1.9833333333333332,4.383333333333334,3.733333333333333,0.0,0.0,4.433333333333334,3.1791666666666667,2.629166666666667
111575,2017-06-15,7.3,1,49,0,15,3,0,0,0,1.0,4,0,2,0,5,5,7.466666666666668,7.45,6.9,0.0,0.0,0.0,5.916666666666668,8.816666666666666,7.383333333333334,4.116666666666666,0.0,0.0,0.0,7.1
111575,2017-06-16,0.0,1,49,0,16,4,0,1,0,1.0,4,0,2,0,5,5,7.3,7.466666666666668,7.45,6.9,0.0,0.0,0.0,5.916666666666668,8.816666666666666,7.383333333333334,4.116666666666666,0.0,0.0,0.0
111575,2017-06-17,0.0,1,49,0,17,5,1,1,0,1.0,4,0,2,0,5,5,0.0,7.3,7.466666666666668,7.45,6.9,0.0,0.0,0.0,5.916666666666668,8.816666666666666,7.383333333333334,4.116666666666666,0.0,0.0
111575,2017-06-18,0.0,1,49,0,18,6,1,0,1,1.0,4,0,2,0,5,5,0.0,0.0,7.3,7.466666666666668,7.45,6.9,0.0,0.0,0.0,5.916666666666668,8.816666666666666,7.383333333333334,4.116666666666666,0.0
111575,2017-06-19,9.733333333333333,1,49,0,19,0,0,0,1,1.0,4,0,2,0,5,5,0.0,0.0,0.0,7.3,7.466666666666668,7.45,6.9,0.0,0.0,0.0,5.916666666666668,8.816666666666666,7.383333333333334,4.116666666666666
111575,2017-06-20,8.233333333333333,1,49,0,20,1,0,0,0,1.0,4,0,2,0,5,5,9.733333333333333,0.0,0.0,0.0,7.3,7.466666666666668,7.45,6.9,0.0,0.0,0.0,5.916666666666668,8.816666666666666,7.383333333333334
111575,2017-06-21,6.216666666666668,1,49,0,21,2,0,0,0,1.0,4,0,2,0,5,5,8.233333333333333,9.733333333333333,0.0,0.0,0.0,7.3,7.466666666666668,7.45,6.9,0.0,0.0,0.0,5.916666666666668,8.816666666666666
111779,2017-06-15,1.8333333333333333,1,26,0,15,3,0,0,0,0.0,2,0,0,0,5,0,5.3,2.2958333333333334,0.0,0.0,0.0,1.7,4.558333333333334,1.85,3.595833333333333,0.0,0.0,0.0,3.65,3.733333333333333
111779,2017-06-16,4.433333333333334,1,26,0,16,4,0,1,0,0.0,2,0,0,0,5,0,1.8333333333333333,5.3,2.2958333333333334,0.0,0.0,0.0,1.7,4.558333333333334,1.85,3.595833333333333,0.0,0.0,0.0,3.65
111779,2017-06-17,0.0,1,26,0,17,5,1,1,0,0.0,2,0,0,0,5,0,4.433333333333334,1.8333333333333333,5.3,2.2958333333333334,0.0,0.0,0.0,1.7,4.558333333333334,1.85,3.595833333333333,0.0,0.0,0.0
111779,2017-06-18,0.0,1,26,0,18,6,1,0,1,0.0,2,0,0,0,5,0,0.0,4.433333333333334,1.8333333333333333,5.3,2.2958333333333334,0.0,0.0,0.0,1.7,4.558333333333334,1.85,3.595833333333333,0.0,0.0
111779,2017-06-19,0.0,1,26,0,19,0,0,0,1,0.0,2,0,0,0,5,0,0.0,0.0,4.433333333333334,1.8333333333333333,5.3,2.2958333333333334,0.0,0.0,0.0,1.7,4.558333333333334,1.85,3.595833333333333,0.0
111779,2017-06-20,3.5166666666666666,1,26,0,20,1,0,0,0,0.0,2,0,0,0,5,0,0.0,0.0,0.0,4.433333333333334,1.8333333333333333,5.3,2.2958333333333334,0.0,0.0,0.0,1.7,4.558333333333334,1.85,3.595833333333333
111779,2017-06-21,4.183333333333334,1,26,0,21,2,0,0,0,0.0,2,0,0,0,5,0,3.5166666666666666,0.0,0.0,0.0,4.433333333333334,1.8333333333333333,5.3,2.2958333333333334,0.0,0.0,0.0,1.7,4.558333333333334,1.85
