driver_id,day,online_hours,date
111556,1,2.216666666666667,2017-06-01
111556,2,2.5,2017-06-02
111556,5,4.666666666666667,2017-06-05
111556,6,3.1166666666666667,2017-06-06
111556,7,2.629166666666667,2017-06-07
111556,8,3.1791666666666667,2017-06-08
111556,9,4.433333333333334,2017-06-09
111556,12,3.7333333333333334,2017-06-12
111556,13,4.383333333333334,2017-06-13
111556,14,1.9833333333333334,2017-06-14
111556,15,1.0333333333333334,2017-06-15
111556,19,0.5333333333333333,2017-06-19
111556,20,2.183333333333333,2017-06-20
111556,21,3.1,2017-06-21
111575,1,7.1,2017-06-01
111575,5,4.116666666666666,2017-06-05
111575,6,7.383333333333334,2017-06-06
111575,7,8.816666666666666,2017-06-07
111575,8,5.916666666666667,2017-06-08
111575,12,6.9,2017-06-12
111575,13,7.45,2017-06-13
111575,14,7.466666666666667,2017-06-14
111575,15,7.3,2017-06-15
111575,19,9.733333333333333,2017-06-19
111575,20,8.233333333333333,2017-06-20
111575,21,6.216666666666667,2017-06-21
111779,1,3.7333333333333334,2017-06-01
111779,2,3.65,2017-06-02
111779,6,3.595833333333333,2017-06-06
111779,7,1.85,2017-06-07
111779,8,4.558333333333334,2017-06-08
111779,9,1.7,2017-06-09
111779,13,2.2958333333333334,2017-06-13
111779,14,5.3,2017-06-14
111779,15,1.8333333333333333,2017-06-15
111779,16,4.433333333333334,2017-06-16
111779,20,3.5166666666666666,2017-06-20
111779,21,4.183333333333334,2017-06-21
111839,1,8.929166666666667,2017-06-01
111839,2,9.2125,2017-06-02
111839,3,8.4625,2017-06-03
111839,4,8.229166666666666,2017-06-04
111839,5,8.3,2017-06-05
111839,6,6.516666666666667,2017-06-06
111839,7,6.233333333333333,2017-06-07
111839,8,6.941666666666666,2017-06-08
111839,9,7.95,2017-06-09
111839,10,8.8625,2017-06-10
111839,11,6.8,2017-06-11
111839,12,5.95,2017-06-12
111839,13,7.116666666666666,2017-06-13
111839,14,6.666666666666667,2017-06-14
111839,15,7.2,2017-06-15
111839,16,8.8125,2017-06-16
111839,17,7.433333333333334,2017-06-17
111839,18,6.766666666666667,2017-06-18
111839,19,8.525,2017-06-19
111839,20,6.316666666666666,2017-06-20
111839,21,7.783333333333333,2017-06-21
112486,1,3.1166666666666667,2017-06-01
112486,2,3.8333333333333335,2017-06-02
112486,5,5.0,2017-06-05
112486,6,5.066666666666666,2017-06-06
112486,7,1.3333333333333333,2017-06-07
112486,8,4.4,2017-06-08
112486,9,4.133333333333334,2017-06-09
112486,12,1.55,2017-06-12
112486,13,0.44166666666666665,2017-06-13
112486,14,2.466666666666667,2017-06-14
112486,15,1.75,2017-06-15
112486,16,3.7333333333333334,2017-06-16
112486,19,2.716666666666667,2017-06-19
112486,20,4.316666666666666,2017-06-20
112486,21,5.3,2017-06-21
112609,1,8.566666666666666,2017-06-01
112609,2,6.616666666666666,2017-06-02
112609,3,5.35,2017-06-03
112609,4,6.733333333333333,2017-06-04
112609,5,5.233333333333333,2017-06-05
112609,6,7.616666666666666,2017-06-06
112609,7,4.983333333333333,2017-06-07
112609,8,4.383333333333334,2017-06-08
112609,9,4.766666666666667,2017-06-09
112609,11,5.55,2017-06-11
112609,12,5.85,2017-06-12
112609,13,4.779166666666667,2017-06-13
112609,14,3.8583333333333334,2017-06-14
112609,15,7.7,2017-06-15
112609,16,7.1125,2017-06-16
112609,17,6.883333333333334,2017-06-17
112609,18,3.8666666666666667,2017-06-18
112609,19,4.95,2017-06-19
112609,20,6.183333333333334,2017-06-20
112609,21,4.033333333333333,2017-06-21
112698,1,0.8333333333333334,2017-06-01
112698,2,2.5,2017-06-02
112698,4,6.595833333333333,2017-06-04
112698,5,0.8833333333333333,2017-06-05
112698,6,4.6,2017-06-06
112698,7,5.4,2017-06-07
112698,9,4.616666666666666,2017-06-09
112698,11,6.066666666666666,2017-06-11
112698,12,1.85,2017-06-12
112698,13,4.379166666666666,2017-06-13
112698,14,1.75,2017-06-14
112698,15,4.05,2017-06-15
112698,16,3.783333333333333,2017-06-16
112698,18,7.183333333333334,2017-06-18
112698,19,3.45,2017-06-19
112698,20,2.1333333333333333,2017-06-20
112698,21,5.683333333333334,2017-06-21
112730,1,4.683333333333334,2017-06-01
112730,2,4.533333333333333,2017-06-02
112730,6,4.366666666666666,2017-06-06
112730,7,3.25,2017-06-07
112730,8,1.1833333333333333,2017-06-08
112730,9,1.7166666666666666,2017-06-09
112730,13,1.2833333333333334,2017-06-13
112730,14,3.5833333333333335,2017-06-14
112730,15,5.85,2017-06-15
112730,16,2.4291666666666667,2017-06-16
112730,20,1.9,2017-06-20
112730,21,3.1333333333333333,2017-06-21
113043,1,9.416666666666666,2017-06-01
113043,2,6.229166666666667,2017-06-02
113043,5,6.229166666666667,2017-06-05
113043,6,8.416666666666666,2017-06-06
